Date,Open,High,Low,Close
07/07/2023,"15,070.50","15,210.63","15,032.56","15,036.85"
07/06/2023,"15,054.10","15,106.45","14,969.14","15,089.45"
07/05/2023,"15,165.36","15,275.18","15,162.66","15,203.78"
07/03/2023,"15,190.54","15,232.96","15,153.60","15,208.69"
06/30/2023,"15,085.24","15,213.75","15,081.57","15,179.21"
06/29/2023,"14,965.55","14,986.89","14,876.94","14,939.95"
06/28/2023,"14,876.25","15,051.08","14,865.81","14,964.57"
06/27/2023,"14,751.57","14,972.32","14,726.75","14,945.91"
06/26/2023,"14,866.66","14,982.82","14,687.02","14,689.02"
06/23/2023,"14,879.23","14,983.73","14,821.81","14,891.48"
06/22/2023,"14,797.89","15,044.22","14,794.95","15,042.32"
06/21/2023,"15,019.01","15,038.90","14,826.02","14,867.45"
06/20/2023,"15,036.48","15,127.42","14,946.72","15,070.15"
06/16/2023,"15,272.65","15,284.65","15,073.45","15,083.92"
06/15/2023,"14,949.70","15,246.62","14,930.12","15,185.48"
06/14/2023,"14,894.10","15,017.10","14,784.62","15,005.69"
06/13/2023,"14,911.26","14,931.83","14,770.14","14,900.85"
06/12/2023,"14,617.35","14,789.60","14,571.36","14,784.30"
06/09/2023,"14,574.24","14,672.85","14,487.48","14,528.36"
06/08/2023,"14,319.24","14,503.31","14,314.70","14,484.54"
06/07/2023,"14,573.27","14,647.91","14,283.88","14,303.29"
