Date,Open,High,Low,Close
07/07/2023,"15,070.50","15,210.63","15,032.56","15,036.85"
07/06/2023,"15,054.10","15,106.45","14,969.14","15,089.45"
07/05/2023,"15,165.36","15,275.18","15,162.66","15,203.78"
07/03/2023,"15,190.54","15,232.96","15,153.60","15,208.69"
06/30/2023,"15,085.24","15,213.75","15,081.57","15,179.21"
06/29/2023,"14,965.55","14,986.89","14,876.94","14,939.95"
06/28/2023,"14,876.25","15,051.08","14,865.81","14,964.57"
06/27/2023,"14,751.57","14,972.32","14,726.75","14,945.91"
06/26/2023,"14,866.66","14,982.82","14,687.02","14,689.02"
06/23/2023,"14,879.23","14,983.73","14,821.81","14,891.48"
06/22/2023,"14,797.89","15,044.22","14,794.95","15,042.32"
06/21/2023,"15,019.01","15,038.90","14,826.02","14,867.45"
06/20/2023,"15,036.48","15,127.42","14,946.72","15,070.15"
06/16/2023,"15,272.65","15,284.65","15,073.45","15,083.92"
06/15/2023,"14,949.70","15,246.62","14,930.12","15,185.48"
06/14/2023,"14,894.10","15,017.10","14,784.62","15,005.69"
06/13/2023,"14,911.26","14,931.83","14,770.14","14,900.85"
06/12/2023,"14,617.35","14,789.60","14,571.36","14,784.30"
06/09/2023,"14,574.24","14,672.85","14,487.48","14,528.36"
06/08/2023,"14,319.24","14,503.31","14,314.70","14,484.54"
06/07/2023,"14,573.27","14,647.91","14,283.88","14,303.29"
06/06/2023,"14,526.10","14,593.50","14,476.99","14,558.09"
06/05/2023,"14,550.13","14,662.95","14,516.88","14,556.50"
06/02/2023,"14,517.08","14,595.81","14,442.15","14,546.64"
06/01/2023,"14,269.09","14,493.31","14,219.94","14,441.51"
05/31/2023,"14,293.56","14,375.38","14,216.16","14,254.09"
05/30/2023,"14,465.59","14,520.17","14,301.08","14,354.99"
05/26/2023,"13,990.55","14,329.49","13,982.16","14,298.41"
05/25/2023,"13,920.89","13,986.87","13,812.18","13,938.53"
05/24/2023,"13,589.02","13,655.73","13,520.92","13,604.48"
05/23/2023,"13,773.68","13,827.10","13,662.91","13,672.54"
05/22/2023,"13,805.34","13,893.71","13,792.97","13,849.74"
05/19/2023,"13,842.69","13,874.42","13,763.90","13,803.49"
05/18/2023,"13,608.95","13,844.76","13,606.81","13,834.62"
05/17/2023,"13,474.52","13,608.33","13,419.35","13,589.26"
05/16/2023,"13,385.37","13,498.44","13,384.78","13,426.01"
05/15/2023,"13,352.26","13,419.81","13,297.85","13,413.51"
05/12/2023,"13,407.02","13,427.42","13,256.56","13,340.18"
05/11/2023,"13,376.86","13,411.70","13,306.08","13,389.78"
05/10/2023,"13,308.42","13,384.42","13,204.79","13,347.83"
05/09/2023,"13,228.64","13,254.81","13,193.88","13,201.11"
05/08/2023,"13,247.09","13,302.43","13,193.08","13,291.64"
05/05/2023,"13,070.70","13,291.11","13,059.91","13,259.13"
05/04/2023,"13,014.08","13,064.02","12,938.45","12,982.48"
05/03/2023,"13,123.10","13,231.71","13,026.04","13,030.21"
05/02/2023,"13,225.48","13,241.53","13,046.79","13,113.66"
05/01/2023,"13,229.12","13,287.47","13,186.40","13,231.47"
04/28/2023,"13,139.35","13,247.39","13,096.94","13,245.99"
04/27/2023,"12,963.21","13,175.62","12,938.50","13,160.03"
04/26/2023,"12,866.64","12,929.62","12,783.42","12,806.48"
04/25/2023,"12,905.09","12,933.28","12,724.24","12,725.11"
04/24/2023,"12,981.71","13,044.23","12,883.77","12,969.76"
04/21/2023,"12,970.32","13,030.85","12,899.64","13,000.77"
04/20/2023,"12,962.29","13,107.92","12,933.80","12,985.98"
04/19/2023,"12,992.51","13,128.25","12,988.20","13,088.71"
04/18/2023,"13,180.31","13,196.18","13,044.21","13,091.79"
04/17/2023,"13,053.26","13,105.68","12,981.26","13,087.71"
04/14/2023,"13,044.69","13,152.29","12,962.51","13,079.52"
04/13/2023,"12,922.90","13,124.41","12,920.02","13,109.39"
04/12/2023,"13,043.97","13,071.98","12,833.31","12,848.35"
04/11/2023,"13,040.49","13,049.56","12,947.66","12,964.15"
04/10/2023,"12,936.52","13,051.85","12,861.52","13,051.23"
04/06/2023,"12,892.90","13,078.10","12,846.03","13,062.60"
04/05/2023,"13,056.79","13,065.28","12,894.44","12,967.20"
04/04/2023,"13,165.32","13,204.08","13,049.98","13,100.07"
04/03/2023,"13,084.10","13,157.47","13,036.55","13,148.35"
03/31/2023,"12,968.96","13,188.83","12,968.00","13,181.35"
03/30/2023,"12,934.99","12,987.97","12,894.14","12,963.14"
03/29/2023,"12,768.14","12,867.32","12,734.68","12,846.03"
03/28/2023,"12,654.91","12,654.91","12,517.87","12,610.57"
03/27/2023,"12,797.90","12,839.42","12,647.94","12,673.07"
03/24/2023,"12,700.51","12,770.28","12,608.15","12,767.05"
03/23/2023,"12,735.60","12,900.10","12,611.67","12,729.23"
03/22/2023,"12,742.41","12,943.62","12,563.78","12,567.15"
03/21/2023,"12,643.35","12,762.45","12,582.76","12,741.44"
03/20/2023,"12,487.79","12,578.35","12,407.82","12,562.61"
03/17/2023,"12,570.16","12,674.34","12,444.08","12,519.88"
03/16/2023,"12,211.87","12,595.69","12,190.65","12,581.39"
03/15/2023,"12,083.24","12,269.45","12,026.18","12,251.32"
03/14/2023,"12,078.46","12,217.87","12,035.22","12,199.79"
03/13/2023,"11,752.10","12,073.96","11,695.41","11,923.17"
03/10/2023,"12,001.70","12,069.62","11,789.86","11,830.28"
03/09/2023,"12,230.84","12,340.45","11,970.34","11,995.88"
03/08/2023,"12,181.06","12,237.72","12,102.28","12,215.33"
03/07/2023,"12,303.19","12,344.05","12,130.01","12,152.17"
03/06/2023,"12,344.65","12,466.88","12,297.57","12,302.48"
03/03/2023,"12,110.71","12,300.46","12,095.24","12,290.81"
03/02/2023,"11,830.09","12,074.59","11,830.09","12,044.87"
03/01/2023,"12,026.72","12,054.48","11,906.58","11,938.57"
02/28/2023,"12,041.75","12,146.52","12,021.32","12,042.12"
02/27/2023,"12,106.79","12,159.64","12,034.61","12,057.79"
02/24/2023,"11,979.80","12,018.32","11,900.84","11,969.65"
02/23/2023,"12,224.44","12,227.40","12,003.31","12,180.14"
02/22/2023,"12,085.67","12,156.21","12,006.04","12,066.27"
02/21/2023,"12,205.21","12,257.06","12,058.23","12,060.30"
02/17/2023,"12,352.30","12,385.52","12,233.79","12,358.18"
02/16/2023,"12,495.07","12,653.40","12,440.00","12,442.48"
02/15/2023,"12,531.60","12,689.34","12,486.42","12,687.89"
02/14/2023,"12,413.10","12,627.40","12,356.32","12,590.89"
